id,created_at,text,geo,coordinates,retweet_count,favorite_count
1207837292913713164,Fri Dec 20 01:37:05 +0000 2019,"@mwaijames Miguna was born in Kenya, grew up and went to school in Kenya up the university level, fought against di… https://t.co/tzq3um53wn",,,3,8
1207835263122255872,Fri Dec 20 01:29:01 +0000 2019,"4) Upon my arrival at the JKIA on January 7, 2020, the DUTY will be upon the illegitimate Kenyatta regime to OBEY t… https://t.co/Q2PcxIasnx",,,237,1632
1207834450949750784,Fri Dec 20 01:25:48 +0000 2019,"3) All over the world including in the developed countries like the USA, Canada, UK, Germany or France citizens sho… https://t.co/zEbcW6nIkO",,,44,299
1207833398900858880,Fri Dec 20 01:21:37 +0000 2019,2) Kenyan citizens are only required to complete and tender Customs Declaration Forms for purposes of having anythi… https://t.co/60Gc9i5MtQ,,,29,181
1207832877607591938,Fri Dec 20 01:19:33 +0000 2019,Free legal education for Kenyans who may be ignorant of immigration law: The law does not require citizens to be pr… https://t.co/omkOCR2mVF,,,72,506
1207829668759511040,Fri Dec 20 01:06:48 +0000 2019,"The @citizentvkenya and other Githeri Media know that I was illegally abducted, detained, tortured and forcefully r… https://t.co/IAEYDf0jex",,,33,200
1207750186799443974,Thu Dec 19 19:50:58 +0000 2019,@cassidiz Despots don't respect the rule of law. That's why they are called despots. For the rule of law to prevail… https://t.co/YgTEz43SJC,,,17,210
1207741972863209472,Thu Dec 19 19:18:19 +0000 2019,@JohnMachenge @UhuruKE @RailaOdinga Thank you. Viva.,,,0,32
1207720530696163328,Thu Dec 19 17:53:07 +0000 2019,RT @IbrahimCaliph: Patriot @MigunaMiguna will arrive in Kenya on January 7 2020. Welcome back to your birth place Daktari. Viva!!! https://…,,,70,0
1207717929338507264,Thu Dec 19 17:42:47 +0000 2019,@ODPP_KE @MPyusufhassan @RadioAfricaKE @DCI_Kenya @TheStarKenya @RadioJamboKenya @Classic105Kenya @Kiss100kenya… https://t.co/9D2YpfvrCN,,,18,84
1207705421294833665,Thu Dec 19 16:53:05 +0000 2019,"@EtichJeff I don't own the airlines that fly to Nairobi from Europe, zombie! Think. #Wajinganyiyi",,,0,7
1207704061992210432,Thu Dec 19 16:47:41 +0000 2019,@gideon_maritim My email address is on my Twitter profile.,,,3,63
1207703317775896578,Thu Dec 19 16:44:43 +0000 2019,"HOMECOMING 
Birth Right, Constitutional Rights and Court Orders

CHANGE BY POPULAR DEMAND
Arrival: Tuesday, January… https://t.co/F3PIehAezx",,,916,4609
1207698315246211072,Thu Dec 19 16:24:50 +0000 2019,@SrMurithi_Edwin Where do you get the numbers to dispute my numbers. Wacha ujinga!,,,16,288
1207697423440732161,Thu Dec 19 16:21:18 +0000 2019,"More than 20 million UNEMPLOYED Kenyan youth with university, college and high school diplomas need jobs. They don'… https://t.co/JLNuOgmpUQ",,,534,3183
1207690967433781249,Thu Dec 19 15:55:39 +0000 2019,"@Willy90361388 @BarackObama Because Anne Waiguru (NYS and FMIS looting), Charity Ngilu (burnt down Kitui County Tre… https://t.co/YGcEHZVhkz",,,4,30
1207690261142355968,Thu Dec 19 15:52:50 +0000 2019,"@renegadeix @migunamigunajr @BarackObama Miguna's mother was a woman, zombie!",,,0,10
1207688006490099714,Thu Dec 19 15:43:53 +0000 2019,Neither Despot Uhuru Kenyatta nor his illegitimate cabinet has the power to name or rename national (holi)days. Onl… https://t.co/D04NpTiKr1,,,58,359
1207507355740581889,Thu Dec 19 03:46:02 +0000 2019,@zura_said @BarackObama Crawl before you try to run. Cheers.,,,1,11
1207505734000369664,Thu Dec 19 03:39:36 +0000 2019,"@zura_said @BarackObama Twitter has character limits, zombie. Moreover, Obama spoke of those ""running countries;"" n… https://t.co/uHvNufl3H7",,,3,24
1207503607148490752,Thu Dec 19 03:31:08 +0000 2019,"Fred Okengo Matiang'i, Kihara Kairuki, George Kihalangwa, Joseph Boinett, Said Kiprotich and Noordin Haji - meaning… https://t.co/M5nXvPyr29",,,44,249
